id,title,authors,date,source_name,category,type,area,url,summary,breadth_score,significance_score,tags,notes,retrieved_at
471c6a5ecbf146f6,Multiplying Impact and Expanding Reach: Ideas and Reflections from Outreach at the University of Melbourne,"Paul Fijn, Cindy Huang, Susan James, et al.",2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3322,,4,3,"expository,type:expository",,2026-07-10T04:39:49
150206f09c1fa5de,Letters to the Editor,,2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3240,,4,3,"expository,type:expository",,2026-07-10T04:39:49
8ca476e8aa11d029,Bookshelf,Emily Olson,2026-05,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3329,,4,3,"expository,type:expository",,2026-07-10T04:39:49
1e57724431ad370a,Voting on Relations Using Pairs Information,"Karl-Dieter Crisman, Erin McNicholas, Kathryn Nyman, et al.",2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3251,,4,3,"expository,type:expository",,2026-07-10T04:39:49
b699843dfd8ce465,Tom Lehrer (1928–2025): A (Mostly) Mathematical Appreciation,"Ted Courant, Amanda Palmer, Joseph Silverman",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3297,,4,3,"expository,type:expository",,2026-07-10T04:39:49
909e0b21d69b8b91,Reaching the Masses: Six Authors on Public Outreach,"Keith Devlin, Marcus du Sautoy, Jordan Ellenberg, et al.",2026-01,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3285,,4,3,"expository,type:expository",,2026-07-10T04:39:49
7aa70f3ae0d52f42,What the Sine-of-a-Sum Example Tells Us About Sums of Separable Functions and Canonical Tensor Decompositions,Martin Mohlenkamp,2025-12,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3276,,4,3,"expository,type:expository",,2026-07-10T04:39:49
aaa71222566ebf8b,A Mathematical Lens for Teaching Data Science,Johanna Hardin,2025-12,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3253,,4,3,"expository,type:expository",,2026-07-10T04:39:49
b731143fe1ee890f,Celebrating Mathematics: ICM2026 in Philadelphia,Allyn Jackson,2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3247,,4,4,"expository,high-signif,type:expository",,2026-07-10T04:39:49
4a4cc91b7ce23585,Bookshelf,Emily Olson,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3359,,4,3,"expository,type:expository",,2026-07-10T04:39:49
0f5549f9f1c5d97f,"History, Identity, and Ownership in Mathematics: A Response to Minhyong Kim",Reviel Netz,2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3238,,4,3,"expository,type:expository",,2026-07-10T04:39:49
33c805b609e64ba2,Eigenvalue Repulsion,Lloyd Trefethen,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3356,,4,3,"expository,type:expository",,2026-07-10T04:39:49
4300a0d2f659ce55,Ramin Zabih on the Future of arXiv,"Ramin Zabih, Mark Wilson",2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3244,,4,3,"announcement,expository,type:expository",,2026-07-10T04:39:49
7e9742bb332b1b5b,Letter {from} the Editor: Why YOU Should Write an Article for the {Notices}!,Joseph Silverman,2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3300,,5,3,"expository,legible,type:expository",,2026-07-10T04:39:49
47c637280d0dc593,Report on the 2018–2019 New Doctorate Recipients,"Rankin Climate, LLC",2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3233,,4,3,"expository,type:expository",,2026-07-10T04:39:49
68a1f32e3631a2f7,Mathematics Teachers and Mathematics Graduate Students: A Program,"Chi-Keung Cheung, Solomon Friedberg",2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3348,,4,3,"expository,type:expository",,2026-07-10T04:39:49
7b1a315952c94f57,Recovering a Lost Masterpiece of Analysis: The Burned Third Edition of de La Vallée Poussin’s &lt;em&gt;Cours d’Analyse infinitésimale&lt;/em&gt;,"Jean Mawhin, Augusto Ponce, Michel Willem",2026-05,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3328,,4,3,"expository,type:expository",,2026-07-10T04:39:49
05975a8b67e0a6b5,2026 AMS Governance,,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3370,,4,3,"expository,type:expository",,2026-07-10T04:39:49
fd7b3e4df6900cc8,"Domingo Toledo Alamo, 1945–2025","James Carlson, Hugo Rossi",2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3319,,4,3,"expository,type:expository",,2026-07-10T04:39:49
463403d6b3d2ee64,Learning by Crossing the Pond I: Mathematics Education Contexts and Goals in the US and England,"Dave Kung, Andy Noyes",2025-10,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3214,,4,3,"expository,type:expository",,2026-07-10T04:39:49
5b706d260f811f5a,"2025 MRC Generates Research, Community",Elaine Beebe,2025-11,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3261,,4,3,"expository,type:expository",,2026-07-10T04:39:49
5c10538c7dade234,Evolution of Stacks and Moduli,Jarod Alper,2025-12,Notices of the AMS,A,expository,алгебраическая геометрия,https://doi.org/10.1090/noti3280,,4,3,"expository,type:expository",,2026-07-10T04:39:49
b0a9b12c4b4745bf,Chairs Lead Discussions at AMS Workshop,Elaine Beebe,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3338,,4,3,"expository,type:expository",,2026-07-10T04:39:49
4c7cbe2e234f9c45,Challenges and Opportunities in Peer Review,"Lance Fortnow, Robert Harington, Igor Pak, et al.",2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3194,,4,3,"expository,type:expository",,2026-07-10T04:39:49
24a74d6eb809533a,"History, Identity, and Ownership in Mathematics",Minhyong Kim,2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3124,,4,3,"expository,type:expository",,2026-07-10T04:39:49
9897116548441fe6,Letters to the Editor,,2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3312,,4,3,"expository,type:expository",,2026-07-10T04:39:49
1580f2c97bd8719c,Mathematics People,,2025-09,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3236,,4,3,"expository,type:expository",,2026-07-10T04:39:49
f0c38329341254b9,Advice Column,Veselin Jungic,2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3187,,4,3,"expository,type:expository",,2026-07-10T04:39:49
7868e6187dadb4fe,Letters to the Editor,,2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3330,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d1e740513281e46a,Quadratic Forms Beyond Arithmetic,"Alexander Merkurjev, Raman Parimala",2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3192,,4,3,"expository,type:expository",,2026-07-10T04:39:49
588b877b11dbf228,Letters to the Editor,,2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3298,,4,3,"expository,type:expository",,2026-07-10T04:39:49
6a5a70f2ce3db65a,Bookshelf,Emily Olson,2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3197,,4,3,"expository,type:expository",,2026-07-10T04:39:49
371509ecb216ec80,CASE Workshop Inspires Students to Advocate for Mathematics,Elaine Beebe,2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3208,,4,3,"expository,type:expository",,2026-07-10T04:39:49
1e6eb36f10484027,Mathematics People,,2025-11,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3273,,4,3,"expository,type:expository",,2026-07-10T04:39:49
00ab755209e72451,A Brief History of Inference in Astronomy,"Rafael de Souza, Emille Ishida, Alberto Krone-Martins",2025-11,Notices of the AMS,A,expository,статистика,https://doi.org/10.1090/noti3267,,4,3,"expository,type:expository",,2026-07-10T04:39:49
0ded284ff3837173,Abel Interview 2025: Masaki Kashiwara,"Bjørn Dundas, Christian Skau",2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3306,,4,3,"expository,type:expository",,2026-07-10T04:39:49
c9c3133963f9d94f,What is... a Chen–Fliess Series?,"Luis Duffaut Espinosa, Kurusch Ebrahimi-Fard, W. Gray, et al.",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3293,,5,3,"expository,legible,type:expository",,2026-07-10T04:39:49
f300bcc15faeb320,2026 Fellowships of the AMS,,2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3341,,4,3,"expository,type:expository",,2026-07-10T04:39:49
bd6d6787ce093dd2,Richard Palais on His Development as a Young Mathematician,"Richard Palais, Mark Wilson",2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3200,,4,3,"expository,type:expository",,2026-07-10T04:39:49
f610a3af6493dcc2,Haim Brezis (1944–2024),"Henri Berestycki, Jean-Michel Coron, Yanyan Li, et al.",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3295,,4,3,"expository,type:expository",,2026-07-10T04:39:49
a22b4bc46d90484d,Mathematics People,,2026-06,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3362,,4,3,"expository,type:expository",,2026-07-10T04:39:49
9510a5a950199feb,Letters to the Editor,,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3345,,4,3,"expository,type:expository",,2026-07-10T04:39:49
8c8120d99360aeb1,"In Memoriam, Vicki Powers (1958–2025)","Bruce Reznick, Eberhard Becker, Marie-Francoise Roy, et al.",2026-01,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3274,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d7e468ae5e71102a,Teaching Mathematics with Lean: Interactive Theorem Provers in the Classroom,"Paola Iannone, Gihan Marasingha, Athina Thoma",2025-08,Notices of the AMS,A,expository,логика,https://doi.org/10.1090/noti3184,,4,3,"expository,type:expository",,2026-07-10T04:39:49
ed8b83b665779daa,Deciphering Scrolls with Tomography: A Training Experiment,"Sonia Foschiatti, Axel Kittenberger, Otmar Scherzer",2025-11,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3248,,4,3,"expository,type:expository",,2026-07-10T04:39:49
c90dac209740d209,3D Printing of Invariant Manifolds in Dynamical Systems,"Patrick Bishop, Summer Chenoweth, Emmanuel Fleurantin, et al.",2026-01,Notices of the AMS,A,expository,топология,https://doi.org/10.1090/noti3288,,5,3,"cross-field,expository,type:expository",,2026-07-10T04:39:49
81c2b8d5e6291c8f,Guidelines for Writing and Reviewing Mathematical Software,Jeroen Hanselman,2025-08,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3210,,5,3,"expository,legible,type:expository",,2026-07-10T04:39:49
528c0841e6984e37,The Landau Equation and Fisher Information,"Nestor Guillen, Luis Silvestre",2026-02,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3307,,4,3,"expository,type:expository",,2026-07-10T04:39:49
